product_name,category,product_url,price,original_price,sale_price,image_url,product_type
Găng Tay Blossom – Thùng 10 hộp,Vật liệu tiêu hao,https://tinnha.vn/shop/vat-lieu-tieu-hao/gang-tay-blossom/,"790,000 ",,,https://tinnha.vn/wp-content/uploads/2023/09/gang-tay-blossom-01-1-1.jpg,simple
Kẹp phẫu tích (Ms: 2F20-2G01),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kep-phau-tich-ms-2f20-2g01/,"129,000  – 259,000",,,https://tinnha.vn/wp-content/uploads/2024/04/2F20-2G01_Kep-phau-tich.png,configurable
Bộ Trám Sứ Thẩm Mỹ,Vật liệu trám,https://tinnha.vn/shop/vat-lieu-tram/bo-tram-su-tham-my-2/,"2,430,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/842f3d95d0131d4d4402.jpg,simple
Khay lấy dấu (Ms: 7713),Khay lấy dấu,https://tinnha.vn/shop/dung-cu/khay-lay-dau/khay-lay-dau-ms-7713/,"89,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN3_Khay-lay-dau-1-1.png,simple
Dây cung thép S3TM,Dây cung,https://tinnha.vn/shop/chinh-nha/day-cung/day-cung-thep-s3tm-2/,"20,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/Day-cung-S3TM-2.jpg,simple
Chốt Thép Lẻ (I-post),Nội nha,https://tinnha.vn/shop/noi-nha/thiet-bi-noi-nha/chot-thep-le-i-post/,"250,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/chot-thep-le-ipost.jpg,simple
"Mũi Trụ Thuôn Đầu Phẳng 1,6mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-tru-thuon-dau-phang-16mm/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/172-016F-1-1.jpg,simple
Tay Khoan Implant 20:1 (Implant Contra Angle),Thiết bị,https://tinnha.vn/shop/thiet-bi/thiet-bi-khac/tay-khoan-implant-201/,"4,900,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/implant-20-1.jpg,simple
"Mũi Khoan Kim Cương Edo 1,1mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-kim-cuong-edo-11mm/,"550,000 ",,,https://tinnha.vn/wp-content/uploads/2024/03/E164-011C-1-1.jpg,simple
Ly Đánh Thuốc (Glass Dappen Dishes),Vật liệu tiêu hao,https://tinnha.vn/shop/vat-lieu-tieu-hao/ly-danh-thuoc-glass-dappen-dishes/,,"18,000 ₫","14,400 ₫",https://tinnha.vn/wp-content/uploads/2023/06/Ly-danh-thuoc-01.png,simple
Đèn led 10W,Đèn trám,https://tinnha.vn/shop/thiet-bi/den-tram/den-led-10w/,"7,900,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/2daccef12377ee29b766.jpg,simple
Bone Syringe (Ống Chích Xương)),*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/bone-syringe-ong-chich-xuong/,,"790,000 ₫","474,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/Ống-chích-xương.jpg,simple
Kim phun sương (Ms: 5510),Kim phun sương,https://tinnha.vn/shop/dung-cu/kim-phun-suong/kim-phun-suong-ms-5510/,"350,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/5510_Kim-phun-suong-1-1.png,simple
Kềm ba chấu (Ms: 6715),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kem-ba-chau-ms-6715/,"369,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/6715_Kem-be-moc-3-chau.png,simple
Anybond – Keo Dán Thế Hệ Thứ 5,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/anybond-keo-dan-the-he-thu-5/,,"330,000 ₫","182,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/any-bond.jpg,simple
Dụng cụ nghiền xương (Ms: 5501-5502),Dụng cụ nghiền xương,https://tinnha.vn/shop/dung-cu/dung-cu-nghien-xuong/dung-cu-nghien-xuong-ms-5501-5502/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN-4a_Dung-cu-nghien-xuong-07-1.png,simple
Dây cung Nickel Titanium kích hoạt nhiệt M5TM,Dây cung,https://tinnha.vn/shop/chinh-nha/day-cung/day-cung-nickel-titanium-kich-hoat-nhiet-m5tm/,"105,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/Day-cung-M5TM.jpg,simple
Bộ Nâng Xoang Hở Đơn Giản (Simple Sinus Lateral Reamer Kit),Kit phẫu thuật,https://tinnha.vn/shop/kit-phau-thuat/bo-nang-xoang-ho-don-gian-simple-sinus-lateral-reamer-kit/,"11,760,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/5d26136afeec33b26afd-1.jpg,simple
Màng Titan – Dụng Cụ Giữ Màng (SD-Mesh tac),Vật liệu cấy ghép,https://tinnha.vn/shop/vat-lieu-cay-ghep/mang-titan-va-dung-cu-giu-mang-sd-mesh-tac/,"16,780,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/1940fb3d16bbdbe582aa.jpg,simple
Thun thanh/ Thun đơn,Thun,https://tinnha.vn/shop/chinh-nha/thun/thun-thanh-thun-don/,,,,https://tinnha.vn/wp-content/uploads/2024/04/thun-thanh-thun-don.jpg,
"Mũi Khoan Đầu Nón Ngược 1,4mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-dau-non-nguoc-14mm/,"320,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/010-014M-1-1-1.jpg,simple
Che Nướu (Dentto Dam),Tẩy trắng,https://tinnha.vn/shop/tay-trang/che-nuou-dentto-dam/,"99,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/8e033bbad63c1b62422d.jpg,simple
Cây nạo xương (Ms: 3501-3508),Cây nạo xương,https://tinnha.vn/shop/dung-cu/cay-nao-xuong/cay-nao-xuong-ms-3501-3502/,"79,000  – 109,000",,,https://tinnha.vn/wp-content/uploads/2024/04/TN1c_Cay-nao-xuong-01-1-1.png,configurable
